		////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                                                //
        //      If you have any Problems with Configurations here feel free to contact me on Discord: Dr_J0nes#3734       //
        //                                                                                                                //
        //      Only Single line Comments work. Don't use Multi line Comments!                                            //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                                                 //
        //      // THIS COMMENT WORKS!                                                                                    //
        //																												  //
        //      Generated with DayZ server customizer http://dayztypes.pro Discord: https://discord.gg/zTrMpjM            //
        ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

	// When changing Prices here keep in Mind that Players
	// can just unpack the Ammoboxes and sell the Ammo separately!
	// Originally the Ammoboxes buying Price is 20% less than
	// buying single Ammo. The Selling Price is the same as
	// selling the Ammo separately.

	// <Trader Name>  (first Trader has ID = 0, second Trader has ID = 1, and so on..)	
	// <Category Name>
	// Item Classname, Quantity, Buyvalue, Sellvalue
	// Quantity * means max value; 
	// Quantity V means Vehicle; 
	// Quantity VNK means Vehicle without Key;
	// Quantity M means Magazine; 
	// Quantity W means Weapon; 
	// Quantity S means Steack Meat; 
	// Quantity K means Key Duplication
	// Buyvalue -1 means it can not be bought
	// Sellvalue -1 means it can not be selled

// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
// Currency Classname, Currency Money Value
<CurrencyName> #tm_ruble							
	<Currency> MoneyRuble1, 	1					
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100
<Trader>Consume Trader // ID=0
	<Category>Vegetables
		CaninaBerry,                                                           *,                   1,                   -1				// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,                                                         *,                   1,                   -1				// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,                                                                  *,                   1,                   -1				// Buyvalue -1 means it can not be bought
		Kiwi,                                                                  *,                   1,                   -1				// Sellvalue -1 means it can not be selled
		Apple,                                                                 *,                   1,                   -1
		Pear,                                                                  *,                   1,                   -1
		Orange,                                                                *,                   1,                   -1
		Banana,                                                                *,                   1,                   -1
		Tomato,                                                                *,                   1,                   -1
		Potato,                                                                *,                   1,                   -1
		GreenBellPepper,                                                       *,                   1,                   -1
		Zucchini,                                                              *,                   3,                   1
		Pumpkin,                                                               *,                   8,                   3
		AgaricusMushroom,                                                      *,                   2,                   1
		AmanitaMushroom,                                                       *,                   2,                   1
		LactariusMushroom,                                                     *,                   2,                   1
		MacrolepiotaMushroom,                                                  *,                   2,                   1
		PsilocybeMushroom,                                                     *,                   2,                   1
		AuriculariaMushroom,                                                   *,                   2,                   1
		BoletusMushroom,                                                       *,                   2,                   1
		PleurotusMushroom,                                                     *,                   2,                   1
	<Category>Packaged Food
		PowderedMilk,                                                          *,                   1,                   -1
		BoxCerealCrunchin,                                                     *,                   2,                   1
		Rice,                                                                  *,                   3,                   1
		Marmalade,                                                             *,                   3,                   1
		PeachesCan,                                                            *,                   4,                   2
		SardinesCan,                                                           *,                   4,                   2
		TunaCan,                                                               *,                   4,                   2
		SpaghettiCan,                                                          *,                   5,                   2
		BakedBeansCan,                                                         *,                   5,                   2
		TacticalBaconCan,                                                      *,                   5,                   3
	<Category>Meat
		ChickenBreastMeat,                                                     S,                   2,                   1
		GoatSteakMeat,                                                         S,                   3,                   1
		SheepSteakMeat,                                                        S,                   3,                   1
		PigSteakMeat,                                                          S,                   4,                   2
		BoarSteakMeat,                                                         S,                   4,                   2
		WolfSteakMeat,                                                         S,                   4,                   2
		DeerSteakMeat,                                                         S,                   5,                   2
		CowSteakMeat,                                                          S,                   5,                   2
		Sardines,                                                              S,                   7,                   4
		Carp,                                                                  S,                   10,                  5
		Mackerel,                                                              S,                   10,                  5
	<Category>Animal Parts
		Bone,                                                                  *,                   2,                   1
